Company,Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,PE Ratio,Beta,EPS,Forward PE,Revenue,Gross Profit,Operating Income,Net Income,Debt to Equity,Return on Equity (ROE),Current Ratio,Dividends Paid,Dividend Yield,Quarterly Revenue Growth,Analyst Recommendation,Target Price,Free Cash Flow,Operating Margin,Profit Margin,Cash Ratio,Quick Ratio,Price to Book Ratio,Enterprise Value,Total Debt,Total Assets,Total Equity,Beta (5Y),Annual Dividend Rate,Trailing Twelve Months (TTM) Revenue,Trailing Twelve Months (TTM) EBITDA,Trailing Twelve Months (TTM) Earnings
Apple,AAPL,2005-01-03,1.1567859649658203,1.1626789569854736,1.1178569793701172,1.1301790475845337,0.9544085264205933,691992000,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-01-04,1.1391069889068604,1.1691069602966309,1.1244640350341797,1.141785979270935,0.9642102122306824,1096810400,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-01-05,1.1510709524154663,1.1651790142059326,1.1437499523162842,1.151785969734192,0.9726545214653015,680433600,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-01-06,1.1548210382461548,1.159106969833374,1.1308929920196533,1.1526789665222168,0.973409116268158,705555200,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-01-07,1.160714030265808,1.2433929443359375,1.15625,1.2366069555282593,1.0442841053009033,2227450400,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-01-10,1.2469639778137207,1.2625000476837158,1.2121429443359375,1.2314289808273315,1.0399118661880493,1725309600,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-01-11,1.21875,1.2348209619522095,1.1453570127487183,1.1528569459915161,0.9735590815544128,2611627200,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-01-12,1.1687500476837158,1.176785945892334,1.130357027053833,1.1689289808273315,0.9871318936347961,1919702400,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-01-13,1.316249966621399,1.3289289474487305,1.2451790571212769,1.2464289665222168,1.052578091621399,3164716800,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-01-14,1.254464030265808,1.2807140350341797,1.235535979270935,1.2535710334777832,1.0586094856262207,1770742400,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-01-18,1.2473210096359253,1.2625000476837158,1.2098209857940674,1.261607050895691,1.0653959512710571,1006460000,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-01-19,1.2587499618530273,1.2760709524154663,1.245535969734192,1.2478569746017456,1.0537848472595215,751895200,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-01-20,1.243749976158142,1.2726789712905884,1.2405359745025635,1.258213996887207,1.062530279159546,914922400,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-01-21,1.2733930349349976,1.2785710096359253,1.25,1.2587499618530273,1.062983512878418,911332800,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-01-24,1.2675000429153442,1.2817859649658203,1.2598210573196411,1.26357102394104,1.0670541524887085,841629600,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-01-25,1.2744640111923218,1.3007140159606934,1.266785979270935,1.286607027053833,1.0865082740783691,969231200,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
